Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-01-15 20:58:01,2025-01-15 20:58:29,00:00:28,26.7726466,85.26871,30,59.0,2025-01-15 20:58:01
2025-01-15 20:58:07,2025-01-15 20:58:29,00:00:22,26.7721816,85.268655,36,61.0,2025-01-15 20:58:07
2025-01-15 20:58:09,2025-01-15 20:58:29,00:00:20,26.7720016,85.2687083,40,61.0,2025-01-15 20:58:09
2025-01-15 20:58:15,2025-01-15 20:58:29,00:00:14,26.7713899,85.2690166,45,61.0,2025-01-15 20:58:15
2025-01-15 20:58:23,2025-01-15 20:58:31,00:00:08,26.7705716,85.2694816,45,59.0,2025-01-15 20:58:23
2025-01-15 20:58:31,2025-01-15 20:58:38,00:00:07,26.7697266,85.2699766,48,55.0,2025-01-15 20:58:31
2025-01-15 20:58:39,2025-01-15 20:58:45,00:00:06,26.7688916,85.2704966,48,59.0,2025-01-15 20:58:39
2025-01-15 20:58:47,2025-01-15 20:58:50,00:00:03,26.7680583,85.27098,31,56.0,2025-01-15 20:58:47
2025-01-15 20:58:49,2025-01-15 20:59:00,00:00:11,26.767955,85.2710383,17,56.0,2025-01-15 20:58:49
2025-01-15 20:58:52,2025-01-15 20:59:00,00:00:08,26.76791,85.2710716,0,58.0,2025-01-15 20:58:52
2025-01-15 20:58:53,2025-01-15 20:59:00,00:00:07,26.767905,85.2710733,0,58.0,2025-01-15 20:58:53
2025-01-15 20:58:54,2025-01-15 20:59:00,00:00:06,26.7679066,85.2710733,0,58.0,2025-01-15 20:58:54
2025-01-15 20:58:55,2025-01-15 20:59:00,00:00:05,26.7679083,85.2710733,0,58.0,2025-01-15 20:58:55
2025-01-15 20:58:56,2025-01-15 20:59:00,00:00:04,26.7679083,85.2710733,0,58.0,2025-01-15 20:58:56
2025-01-15 20:59:40,2025-01-15 20:59:47,00:00:07,26.7678733,85.2710966,13,60.0,2025-01-15 20:59:40
2025-01-15 20:59:42,2025-01-15 20:59:55,00:00:13,26.7677633,85.2711433,23,60.0,2025-01-15 20:59:42
2025-01-15 20:59:45,2025-01-15 20:59:55,00:00:10,26.7675683,85.2712633,33,61.0,2025-01-15 20:59:45
2025-01-15 20:59:55,2025-01-15 21:00:01,00:00:06,26.7667266,85.2717766,39,61.0,2025-01-15 20:59:55
2025-01-15 21:00:00,2025-01-15 21:00:04,00:00:04,26.766295,85.2720116,32,62.0,2025-01-15 21:00:00
2025-01-15 21:00:04,2025-01-15 21:00:09,00:00:05,26.76607,85.2722716,31,63.0,2025-01-15 21:00:04
2025-01-15 21:00:06,2025-01-15 21:00:09,00:00:03,26.7659833,85.2724199,31,63.0,2025-01-15 21:00:06
2025-01-15 21:00:08,2025-01-15 21:00:14,00:00:06,26.7659366,85.2725883,30,62.0,2025-01-15 21:00:08
2025-01-15 21:00:15,2025-01-15 21:00:19,00:00:04,26.7658883,85.2730899,28,62.0,2025-01-15 21:00:15
2025-01-15 21:00:21,2025-01-15 21:00:29,00:00:08,26.7658783,85.2736833,38,54.0,2025-01-15 21:00:21
2025-01-15 21:00:31,2025-01-15 21:00:38,00:00:07,26.7659483,85.2747316,30,52.0,2025-01-15 21:00:31
2025-01-15 21:00:33,2025-01-15 21:00:38,00:00:05,26.7659166,85.2748633,23,52.0,2025-01-15 21:00:33
2025-01-15 21:00:34,2025-01-15 21:00:38,00:00:04,26.7658733,85.2749033,23,52.0,2025-01-15 21:00:34
2025-01-15 21:00:35,2025-01-15 21:00:38,00:00:03,26.76581,85.2749266,27,52.0,2025-01-15 21:00:35
2025-01-15 21:00:36,2025-01-15 21:00:38,00:00:02,26.7657416,85.2749383,27,52.0,2025-01-15 21:00:36
2025-01-15 21:00:43,2025-01-15 21:00:48,00:00:05,26.7652083,85.2750283,22,52.0,2025-01-15 21:00:43
2025-01-15 21:00:44,2025-01-15 21:00:48,00:00:04,26.7651683,85.2750683,22,52.0,2025-01-15 21:00:44
2025-01-15 21:00:45,2025-01-15 21:00:48,00:00:03,26.7651399,85.2751133,24,53.0,2025-01-15 21:00:45
2025-01-15 21:00:46,2025-01-15 21:00:54,00:00:08,26.7651183,85.27518,25,53.0,2025-01-15 21:00:46
2025-01-15 21:00:48,2025-01-15 21:00:54,00:00:06,26.7651016,85.2753449,29,53.0,2025-01-15 21:00:48
2025-01-15 21:00:59,2025-01-15 21:01:02,00:00:03,26.7650799,85.2764166,34,60.0,2025-01-15 21:00:59
2025-01-15 21:01:08,2025-01-15 21:01:14,00:00:06,26.7649566,85.27742,39,59.0,2025-01-15 21:01:08
2025-01-15 21:01:19,2025-01-15 21:01:22,00:00:03,26.7648616,85.2784416,29,64.0,2025-01-15 21:01:19
2025-01-15 21:01:29,2025-01-15 21:01:33,00:00:04,26.7648083,85.2792683,25,72.0,2025-01-15 21:01:29
2025-01-15 21:01:44,2025-01-15 21:01:52,00:00:08,26.7647433,85.280185,15,65.0,2025-01-15 21:01:44
2025-01-15 21:01:47,2025-01-15 21:01:52,00:00:05,26.764735,85.2802916,12,65.0,2025-01-15 21:01:47
2025-01-15 21:01:50,2025-01-15 21:01:52,00:00:02,26.7647066,85.280345,7,65.0,2025-01-15 21:01:50
2025-01-15 21:01:51,2025-01-15 21:01:57,00:00:06,26.7647133,85.2803616,6,65.0,2025-01-15 21:01:51
2025-01-15 21:01:52,2025-01-15 21:01:57,00:00:05,26.764725,85.280375,6,65.0,2025-01-15 21:01:52
2025-01-15 21:01:56,2025-01-15 21:01:58,00:00:02,26.7647766,85.2804133,6,66.0,2025-01-15 21:01:56
2025-01-15 21:01:58,2025-01-15 21:02:03,00:00:05,26.7648166,85.2804416,7,66.0,2025-01-15 21:01:58
2025-01-15 21:02:01,2025-01-15 21:02:05,00:00:04,26.7648866,85.280475,10,65.0,2025-01-15 21:02:01
2025-01-15 21:02:07,2025-01-15 21:02:10,00:00:03,26.7650466,85.2805416,13,64.0,2025-01-15 21:02:07
2025-01-15 21:02:19,2025-01-15 21:02:25,00:00:06,26.7653649,85.280745,13,64.0,2025-01-15 21:02:19
2025-01-15 21:02:47,2025-01-15 21:02:50,00:00:03,26.7660383,85.2812466,9,67.0,2025-01-15 21:02:47
2025-01-15 21:02:48,2025-01-15 21:02:50,00:00:02,26.7660633,85.2812566,9,67.0,2025-01-15 21:02:48
2025-01-15 21:02:52,2025-01-15 21:02:56,00:00:04,26.766165,85.2813099,11,70.0,2025-01-15 21:02:52
2025-01-15 21:03:00,2025-01-15 21:03:04,00:00:04,26.7664816,85.2814966,17,76.0,2025-01-15 21:03:00
2025-01-15 21:03:01,2025-01-15 21:03:04,00:00:03,26.7665116,85.2815266,18,76.0,2025-01-15 21:03:01
2025-01-15 21:03:02,2025-01-15 21:03:04,00:00:02,26.7665349,85.2815633,18,76.0,2025-01-15 21:03:02
2025-01-15 21:03:05,2025-01-15 21:03:09,00:00:04,26.7665633,85.2816883,15,74.0,2025-01-15 21:03:05
2025-01-15 21:03:06,2025-01-15 21:03:09,00:00:03,26.7665533,85.2817449,18,74.0,2025-01-15 21:03:06
2025-01-15 21:03:23,2025-01-15 21:03:25,00:00:02,26.7663766,85.2827483,19,57.0,2025-01-15 21:03:23
2025-01-15 21:03:28,2025-01-15 21:03:34,00:00:06,26.766355,85.283025,21,55.0,2025-01-15 21:03:28
2025-01-15 21:03:30,2025-01-15 21:03:34,00:00:04,26.7663683,85.2831233,17,54.0,2025-01-15 21:03:30
2025-01-15 21:03:31,2025-01-15 21:03:34,00:00:03,26.7663916,85.2831666,15,54.0,2025-01-15 21:03:31
2025-01-15 21:03:33,2025-01-15 21:03:43,00:00:10,26.76645,85.28323,17,54.0,2025-01-15 21:03:33
2025-01-15 21:03:35,2025-01-15 21:03:43,00:00:08,26.7665316,85.2832833,19,54.0,2025-01-15 21:03:35
2025-01-15 21:03:40,2025-01-15 21:03:43,00:00:03,26.7667366,85.2833966,15,58.0,2025-01-15 21:03:40
2025-01-15 21:03:43,2025-01-15 21:03:50,00:00:07,26.7668283,85.283435,9,58.0,2025-01-15 21:03:43
2025-01-15 21:04:43,2025-01-15 21:04:50,00:00:07,26.7668516,85.28346,0,58.0,2025-01-15 21:04:43
2025-01-15 21:06:43,2025-01-15 21:06:47,00:00:04,26.7668516,85.28346,0,58.0,2025-01-15 21:06:43
2025-01-15 21:08:43,2025-01-15 21:08:53,00:00:10,26.7668516,85.28346,0,58.0,2025-01-15 21:08:43
2025-01-15 21:10:43,2025-01-15 21:10:51,00:00:08,26.7668516,85.28346,0,58.0,2025-01-15 21:10:43
2025-01-15 21:12:43,2025-01-15 21:12:58,00:00:15,26.7668516,85.28346,0,58.0,2025-01-15 21:12:43
2025-01-15 21:14:43,2025-01-15 21:14:54,00:00:11,26.7668516,85.28346,0,58.0,2025-01-15 21:14:43
2025-01-15 21:16:43,2025-01-15 21:17:03,00:00:20,26.7668516,85.28346,0,58.0,2025-01-15 21:16:43
2025-01-15 21:18:43,2025-01-15 21:18:52,00:00:09,26.7668516,85.28346,0,58.0,2025-01-15 21:18:43
2025-01-15 21:20:43,2025-01-15 21:20:47,00:00:04,26.7668516,85.28346,0,58.0,2025-01-15 21:20:43
2025-01-15 21:21:02,2025-01-15 21:21:07,00:00:05,26.76709,85.2837016,20,64.0,2025-01-15 21:21:02
2025-01-15 21:21:17,2025-01-15 21:21:19,00:00:02,26.7678516,85.28431,22,58.0,2025-01-15 21:21:17
2025-01-15 21:21:19,2025-01-15 21:21:23,00:00:04,26.7679383,85.2843783,19,58.0,2025-01-15 21:21:19
2025-01-15 21:21:36,2025-01-15 21:21:39,00:00:03,26.7686383,85.2850683,23,51.0,2025-01-15 21:21:36
2025-01-15 21:21:50,2025-01-15 21:21:56,00:00:06,26.7691133,85.2856783,16,47.0,2025-01-15 21:21:50
2025-01-15 21:21:53,2025-01-15 21:21:56,00:00:03,26.7691783,85.2858083,17,48.0,2025-01-15 21:21:53
2025-01-15 21:21:57,2025-01-15 21:22:02,00:00:05,26.76922,85.2859749,10,50.0,2025-01-15 21:21:57
2025-01-15 21:22:24,2025-01-15 21:22:29,00:00:05,26.769385,85.2868633,20,49.0,2025-01-15 21:22:24
2025-01-15 21:22:43,2025-01-15 21:22:47,00:00:04,26.7696683,85.2878333,15,52.0,2025-01-15 21:22:43
2025-01-15 21:23:05,2025-01-15 21:23:10,00:00:05,26.7700966,85.2887433,18,43.0,2025-01-15 21:23:05
2025-01-15 21:23:19,2025-01-15 21:23:22,00:00:03,26.7704199,85.289325,18,43.0,2025-01-15 21:23:19
