Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-01-06 20:25:50,2025-01-06 20:25:53,00:00:03,26.77297,85.2689183,36,66.0,2025-01-06 20:25:50
2025-01-06 20:25:55,2025-01-06 20:26:02,00:00:07,26.77243,85.2687216,39,64.0,2025-01-06 20:25:55
2025-01-06 20:25:59,2025-01-06 20:26:02,00:00:03,26.772045,85.2687516,38,71.0,2025-01-06 20:25:59
2025-01-06 20:26:01,2025-01-06 20:26:07,00:00:06,26.771845,85.2687966,39,69.0,2025-01-06 20:26:01
2025-01-06 20:26:11,2025-01-06 20:26:13,00:00:02,26.7709583,85.2693033,42,65.0,2025-01-06 20:26:11
2025-01-06 20:26:19,2025-01-06 20:26:24,00:00:05,26.7701466,85.26976,42,61.0,2025-01-06 20:26:19
2025-01-06 20:26:28,2025-01-06 20:26:32,00:00:04,26.7693133,85.2702933,45,75.0,2025-01-06 20:26:28
2025-01-06 20:26:37,2025-01-06 20:26:42,00:00:05,26.7684383,85.2708133,42,79.0,2025-01-06 20:26:37
2025-01-06 20:26:46,2025-01-06 20:26:55,00:00:09,26.76761,85.271325,41,79.0,2025-01-06 20:26:46
2025-01-06 20:26:56,2025-01-06 20:26:58,00:00:02,26.7667916,85.2718033,32,80.0,2025-01-06 20:26:56
2025-01-06 20:27:05,2025-01-06 20:27:09,00:00:04,26.7662583,85.2721283,26,80.0,2025-01-06 20:27:05
2025-01-06 20:27:12,2025-01-06 20:27:23,00:00:11,26.7659616,85.2725383,27,79.0,2025-01-06 20:27:12
2025-01-06 20:27:14,2025-01-06 20:27:23,00:00:09,26.7659133,85.2726766,28,79.0,2025-01-06 20:27:14
2025-01-06 20:27:18,2025-01-06 20:27:28,00:00:10,26.7658733,85.2729966,29,80.0,2025-01-06 20:27:18
2025-01-06 20:27:23,2025-01-06 20:27:28,00:00:05,26.7658733,85.2734116,28,79.0,2025-01-06 20:27:23
2025-01-06 20:27:36,2025-01-06 20:27:48,00:00:12,26.7659349,85.2745366,36,70.0,2025-01-06 20:27:36
2025-01-06 20:27:39,2025-01-06 20:27:48,00:00:09,26.7659349,85.2747966,26,68.0,2025-01-06 20:27:39
2025-01-06 20:27:41,2025-01-06 20:27:48,00:00:07,26.7659099,85.2749116,22,67.0,2025-01-06 20:27:41
2025-01-06 20:27:42,2025-01-06 20:27:48,00:00:06,26.7658816,85.274955,18,68.0,2025-01-06 20:27:42
2025-01-06 20:27:43,2025-01-06 20:27:48,00:00:05,26.7658366,85.2749866,19,68.0,2025-01-06 20:27:43
2025-01-06 20:27:44,2025-01-06 20:27:48,00:00:04,26.7657849,85.2749983,20,68.0,2025-01-06 20:27:44
2025-01-06 20:27:46,2025-01-06 20:27:54,00:00:08,26.7656533,85.2750133,22,68.0,2025-01-06 20:27:46
2025-01-06 20:27:53,2025-01-06 20:27:55,00:00:02,26.7652566,85.2750383,16,67.0,2025-01-06 20:27:53
2025-01-06 20:27:55,2025-01-06 20:28:02,00:00:07,26.7651866,85.2750916,16,66.0,2025-01-06 20:27:55
2025-01-06 20:27:58,2025-01-06 20:28:02,00:00:04,26.7651299,85.2752533,21,66.0,2025-01-06 20:27:58
2025-01-06 20:28:06,2025-01-06 20:28:13,00:00:07,26.7650683,85.2758933,30,66.0,2025-01-06 20:28:06
2025-01-06 20:28:17,2025-01-06 20:28:22,00:00:05,26.7649683,85.2769333,39,66.0,2025-01-06 20:28:17
2025-01-06 20:28:27,2025-01-06 20:28:33,00:00:06,26.7649183,85.2779916,36,71.0,2025-01-06 20:28:27
2025-01-06 20:28:31,2025-01-06 20:28:33,00:00:02,26.7649049,85.2783133,24,74.0,2025-01-06 20:28:31
2025-01-06 20:28:49,2025-01-06 20:28:59,00:00:10,26.7648266,85.2793216,25,76.0,2025-01-06 20:28:49
2025-01-06 20:28:54,2025-01-06 20:28:59,00:00:05,26.7648016,85.2795916,14,78.0,2025-01-06 20:28:54
2025-01-06 20:29:01,2025-01-06 20:29:06,00:00:05,26.7647666,85.279955,24,81.0,2025-01-06 20:29:01
2025-01-06 20:29:09,2025-01-06 20:29:12,00:00:03,26.76474,85.2804733,20,82.0,2025-01-06 20:29:09
2025-01-06 20:29:12,2025-01-06 20:29:18,00:00:06,26.764715,85.2805,5,79.0,2025-01-06 20:29:12
2025-01-06 20:29:16,2025-01-06 20:29:20,00:00:04,26.76473,85.28052,6,77.0,2025-01-06 20:29:16
2025-01-06 20:29:19,2025-01-06 20:29:21,00:00:02,26.764805,85.28054,11,74.0,2025-01-06 20:29:19
2025-01-06 20:29:24,2025-01-06 20:29:29,00:00:05,26.764955,85.2805966,15,73.0,2025-01-06 20:29:24
2025-01-06 20:29:28,2025-01-06 20:29:37,00:00:09,26.7651283,85.2806266,14,72.0,2025-01-06 20:29:28
2025-01-06 20:29:31,2025-01-06 20:29:37,00:00:06,26.7652183,85.2806866,10,70.0,2025-01-06 20:29:31
2025-01-06 20:29:40,2025-01-06 20:29:44,00:00:04,26.7654266,85.2808116,10,65.0,2025-01-06 20:29:40
2025-01-06 20:29:46,2025-01-06 20:29:49,00:00:03,26.7655066,85.2809433,7,64.0,2025-01-06 20:29:46
2025-01-06 20:29:48,2025-01-06 20:29:49,00:00:01,26.7655433,85.280975,10,64.0,2025-01-06 20:29:48
2025-01-06 20:29:56,2025-01-06 20:29:59,00:00:03,26.7657016,85.2811,10,61.0,2025-01-06 20:29:56
2025-01-06 20:29:58,2025-01-06 20:30:00,00:00:02,26.765755,85.28112,10,60.0,2025-01-06 20:29:58
2025-01-06 20:30:00,2025-01-06 20:30:04,00:00:04,26.76581,85.2811516,10,58.0,2025-01-06 20:30:00
2025-01-06 20:30:03,2025-01-06 20:30:14,00:00:11,26.7658883,85.281205,13,58.0,2025-01-06 20:30:03
2025-01-06 20:30:05,2025-01-06 20:30:14,00:00:09,26.7659649,85.2812366,15,57.0,2025-01-06 20:30:05
2025-01-06 20:30:14,2025-01-06 20:30:16,00:00:02,26.7663666,85.2814033,16,54.0,2025-01-06 20:30:14
2025-01-06 20:30:17,2025-01-06 20:30:21,00:00:04,26.7664883,85.281465,14,53.0,2025-01-06 20:30:17
2025-01-06 20:30:18,2025-01-06 20:30:21,00:00:03,26.766495,85.2815416,15,52.0,2025-01-06 20:30:18
2025-01-06 20:30:19,2025-01-06 20:30:28,00:00:09,26.7665183,85.2816316,19,52.0,2025-01-06 20:30:19
2025-01-06 20:30:21,2025-01-06 20:30:28,00:00:07,26.7665116,85.2817833,21,53.0,2025-01-06 20:30:21
2025-01-06 20:30:28,2025-01-06 20:30:30,00:00:02,26.7664449,85.2822033,23,56.0,2025-01-06 20:30:28
2025-01-06 20:30:35,2025-01-06 20:30:37,00:00:02,26.7663683,85.2826433,12,58.0,2025-01-06 20:30:35
2025-01-06 20:30:47,2025-01-06 20:30:51,00:00:04,26.7663166,85.2831333,16,63.0,2025-01-06 20:30:47
2025-01-06 20:30:48,2025-01-06 20:30:51,00:00:03,26.7663266,85.2831783,16,62.0,2025-01-06 20:30:48
2025-01-06 20:30:49,2025-01-06 20:30:51,00:00:02,26.7663433,85.2832133,14,62.0,2025-01-06 20:30:49
2025-01-06 20:30:51,2025-01-06 20:30:56,00:00:05,26.7663883,85.28325,14,63.0,2025-01-06 20:30:51
2025-01-06 20:31:00,2025-01-06 20:31:02,00:00:02,26.7667116,85.2834633,11,66.0,2025-01-06 20:31:00
2025-01-06 20:31:06,2025-01-06 20:31:10,00:00:04,26.766805,85.2835266,0,67.0,2025-01-06 20:31:06
2025-01-06 20:32:06,2025-01-06 20:32:50,00:00:44,26.7668599,85.2835066,0,70.0,2025-01-06 20:32:06
2025-01-06 20:34:06,2025-01-06 20:34:12,00:00:06,26.7668599,85.2835066,0,70.0,2025-01-06 20:34:06
2025-01-06 20:36:06,2025-01-06 20:36:15,00:00:09,26.7668599,85.2835066,0,70.0,2025-01-06 20:36:06
