Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-01-20 20:14:45,2025-01-20 20:14:54,00:00:09,26.7725366,85.2686816,39,59.0,2025-01-20 20:14:45
2025-01-20 20:14:48,2025-01-20 20:14:54,00:00:06,26.7722683,85.268665,39,57.0,2025-01-20 20:14:48
2025-01-20 20:14:50,2025-01-20 20:14:54,00:00:04,26.77207,85.268685,38,58.0,2025-01-20 20:14:50
2025-01-20 20:14:54,2025-01-20 20:14:56,00:00:02,26.7717333,85.2688366,42,60.0,2025-01-20 20:14:54
2025-01-20 20:15:02,2025-01-20 20:15:05,00:00:03,26.7709166,85.2693233,42,58.0,2025-01-20 20:15:02
2025-01-20 20:15:11,2025-01-20 20:15:17,00:00:06,26.7700783,85.2698133,35,62.0,2025-01-20 20:15:11
2025-01-20 20:15:21,2025-01-20 20:15:24,00:00:03,26.76926,85.2703366,39,65.0,2025-01-20 20:15:21
2025-01-20 20:15:30,2025-01-20 20:15:37,00:00:07,26.7684083,85.2708249,42,66.0,2025-01-20 20:15:30
2025-01-20 20:15:39,2025-01-20 20:15:45,00:00:06,26.7675733,85.2712983,41,64.0,2025-01-20 20:15:39
2025-01-20 20:15:41,2025-01-20 20:15:45,00:00:04,26.7674016,85.2714466,30,65.0,2025-01-20 20:15:41
2025-01-20 20:15:43,2025-01-20 20:15:45,00:00:02,26.7673333,85.271505,17,67.0,2025-01-20 20:15:43
2025-01-20 20:15:44,2025-01-20 20:15:49,00:00:05,26.7673366,85.2715,6,68.0,2025-01-20 20:15:44
2025-01-20 20:15:55,2025-01-20 20:16:00,00:00:05,26.7673083,85.2715066,10,71.0,2025-01-20 20:15:55
2025-01-20 20:15:58,2025-01-20 20:16:02,00:00:04,26.7671983,85.2715666,20,71.0,2025-01-20 20:15:58
2025-01-20 20:16:06,2025-01-20 20:16:09,00:00:03,26.7667,85.2718316,30,67.0,2025-01-20 20:16:06
2025-01-20 20:16:13,2025-01-20 20:16:37,00:00:24,26.76626,85.2721066,26,64.0,2025-01-20 20:16:13
2025-01-20 20:16:18,2025-01-20 20:16:37,00:00:19,26.7660566,85.2723633,24,62.0,2025-01-20 20:16:18
2025-01-20 20:16:20,2025-01-20 20:16:37,00:00:17,26.7659983,85.2724733,24,60.0,2025-01-20 20:16:20
