Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-02-14 20:08:36,2025-02-14 20:08:41,00:00:05,26.7722933,85.268755,41,47.0,2025-02-14 20:08:36
2025-02-14 20:08:38,2025-02-14 20:08:44,00:00:06,26.77208,85.268785,40,48.0,2025-02-14 20:08:38
2025-02-14 20:08:41,2025-02-14 20:08:46,00:00:05,26.771805,85.2689283,40,50.0,2025-02-14 20:08:41
2025-02-14 20:08:50,2025-02-14 20:09:04,00:00:14,26.7709533,85.2694266,39,41.0,2025-02-14 20:08:50
2025-02-14 20:08:59,2025-02-14 20:09:07,00:00:08,26.770085,85.26991,37,41.0,2025-02-14 20:08:59
2025-02-14 20:09:02,2025-02-14 20:09:07,00:00:05,26.7698816,85.2700433,26,47.0,2025-02-14 20:09:02
2025-02-14 20:09:06,2025-02-14 20:09:12,00:00:06,26.76972,85.2701483,16,52.0,2025-02-14 20:09:06
2025-02-14 20:09:09,2025-02-14 20:09:15,00:00:06,26.7696666,85.2701783,0,56.0,2025-02-14 20:09:09
2025-02-14 20:10:09,2025-02-14 20:10:13,00:00:04,26.7696666,85.27018,0,56.0,2025-02-14 20:10:09
2025-02-14 20:10:16,2025-02-14 20:10:21,00:00:05,26.7695549,85.27024,11,58.0,2025-02-14 20:10:16
2025-02-14 20:10:19,2025-02-14 20:10:24,00:00:05,26.7694783,85.2702899,13,59.0,2025-02-14 20:10:19
2025-02-14 20:10:21,2025-02-14 20:10:26,00:00:05,26.7694166,85.2703199,13,59.0,2025-02-14 20:10:21
2025-02-14 20:10:27,2025-02-14 20:10:32,00:00:05,26.7691516,85.270455,25,59.0,2025-02-14 20:10:27
2025-02-14 20:10:40,2025-02-14 20:10:46,00:00:06,26.7683033,85.2709533,28,60.0,2025-02-14 20:10:40
2025-02-14 20:10:51,2025-02-14 20:10:55,00:00:04,26.7674816,85.2714066,36,60.0,2025-02-14 20:10:51
2025-02-14 20:11:01,2025-02-14 20:11:05,00:00:04,26.7666983,85.2719033,32,61.0,2025-02-14 20:11:01
2025-02-14 20:11:06,2025-02-14 20:11:11,00:00:05,26.7664033,85.2720766,20,62.0,2025-02-14 20:11:06
2025-02-14 20:11:08,2025-02-14 20:11:14,00:00:06,26.7663383,85.2721283,13,63.0,2025-02-14 20:11:08
2025-02-14 20:11:09,2025-02-14 20:11:14,00:00:05,26.7663233,85.2721583,11,64.0,2025-02-14 20:11:09
2025-02-14 20:11:16,2025-02-14 20:11:21,00:00:05,26.7662683,85.2723283,0,67.0,2025-02-14 20:11:16
2025-02-14 20:12:01,2025-02-14 20:12:06,00:00:05,26.7662066,85.27235,6,68.0,2025-02-14 20:12:01
2025-02-14 20:12:07,2025-02-14 20:12:11,00:00:04,26.7660683,85.2724183,13,67.0,2025-02-14 20:12:07
2025-02-14 20:12:09,2025-02-14 20:12:14,00:00:05,26.76602,85.2724833,17,67.0,2025-02-14 20:12:09
2025-02-14 20:12:13,2025-02-14 20:12:19,00:00:06,26.7659349,85.2726999,23,67.0,2025-02-14 20:12:13
2025-02-14 20:12:17,2025-02-14 20:12:21,00:00:04,26.7659216,85.273,26,69.0,2025-02-14 20:12:17
2025-02-14 20:12:24,2025-02-14 20:12:29,00:00:05,26.7659199,85.2735216,27,66.0,2025-02-14 20:12:24
2025-02-14 20:12:37,2025-02-14 20:12:41,00:00:04,26.766005,85.2746016,29,58.0,2025-02-14 20:12:37
2025-02-14 20:12:41,2025-02-14 20:12:50,00:00:09,26.7659833,85.2748966,24,56.0,2025-02-14 20:12:41
2025-02-14 20:12:42,2025-02-14 20:12:50,00:00:08,26.7659533,85.2749533,23,56.0,2025-02-14 20:12:42
2025-02-14 20:12:43,2025-02-14 20:12:50,00:00:07,26.7658916,85.2749983,26,56.0,2025-02-14 20:12:43
2025-02-14 20:12:44,2025-02-14 20:12:50,00:00:06,26.7658183,85.2750216,28,56.0,2025-02-14 20:12:44
2025-02-14 20:12:45,2025-02-14 20:12:50,00:00:05,26.7657516,85.2750266,28,57.0,2025-02-14 20:12:45
2025-02-14 20:12:52,2025-02-14 20:12:58,00:00:06,26.7653133,85.2750949,16,55.0,2025-02-14 20:12:52
2025-02-14 20:12:53,2025-02-14 20:12:58,00:00:05,26.7652783,85.275115,13,55.0,2025-02-14 20:12:53
2025-02-14 20:12:54,2025-02-14 20:13:00,00:00:06,26.76525,85.2751349,13,54.0,2025-02-14 20:12:54
2025-02-14 20:12:56,2025-02-14 20:13:00,00:00:04,26.76521,85.2751966,13,54.0,2025-02-14 20:12:56
2025-02-14 20:12:57,2025-02-14 20:13:02,00:00:05,26.7651983,85.2752383,14,54.0,2025-02-14 20:12:57
2025-02-14 20:12:59,2025-02-14 20:13:03,00:00:04,26.7651849,85.275325,16,53.0,2025-02-14 20:12:59
