Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-02-08 21:24:00,2025-02-08 21:24:03,00:00:03,26.7722266,85.2686883,34,77.0,2025-02-08 21:24:00
2025-02-08 21:24:02,2025-02-08 21:24:05,00:00:03,26.7720633,85.268715,31,76.0,2025-02-08 21:24:02
2025-02-08 21:24:06,2025-02-08 21:24:09,00:00:03,26.7717199,85.26889,41,70.0,2025-02-08 21:24:06
2025-02-08 21:24:16,2025-02-08 21:24:19,00:00:03,26.770895,85.2693433,33,67.0,2025-02-08 21:24:16
2025-02-08 21:24:25,2025-02-08 21:24:28,00:00:03,26.7700816,85.2698016,45,74.0,2025-02-08 21:24:25
2025-02-08 21:24:33,2025-02-08 21:24:35,00:00:02,26.7692816,85.2702899,43,75.0,2025-02-08 21:24:33
2025-02-08 21:24:42,2025-02-08 21:24:45,00:00:03,26.768375,85.2708233,52,73.0,2025-02-08 21:24:42
2025-02-08 21:24:50,2025-02-08 21:24:53,00:00:03,26.7674866,85.2713366,47,77.0,2025-02-08 21:24:50
2025-02-08 21:24:58,2025-02-08 21:25:01,00:00:03,26.7667016,85.2718066,36,72.0,2025-02-08 21:24:58
2025-02-08 21:25:03,2025-02-08 21:25:07,00:00:04,26.766315,85.2720499,31,70.0,2025-02-08 21:25:03
2025-02-08 21:25:07,2025-02-08 21:25:10,00:00:03,26.76611,85.272295,30,67.0,2025-02-08 21:25:07
2025-02-08 21:25:10,2025-02-08 21:25:15,00:00:05,26.7659883,85.2724983,28,65.0,2025-02-08 21:25:10
2025-02-08 21:25:12,2025-02-08 21:25:15,00:00:03,26.7659466,85.2726483,28,64.0,2025-02-08 21:25:12
2025-02-08 21:25:18,2025-02-08 21:25:21,00:00:03,26.7658749,85.273215,36,64.0,2025-02-08 21:25:18
2025-02-08 21:25:28,2025-02-08 21:25:30,00:00:02,26.7659483,85.2742666,39,68.0,2025-02-08 21:25:28
2025-02-08 21:25:33,2025-02-08 21:25:36,00:00:03,26.765985,85.2747083,28,65.0,2025-02-08 21:25:33
2025-02-08 21:25:35,2025-02-08 21:25:38,00:00:03,26.7659549,85.274845,23,65.0,2025-02-08 21:25:35
2025-02-08 21:25:36,2025-02-08 21:25:38,00:00:02,26.765915,85.274895,22,64.0,2025-02-08 21:25:36
2025-02-08 21:25:37,2025-02-08 21:25:39,00:00:02,26.765855,85.274935,22,65.0,2025-02-08 21:25:37
2025-02-08 21:25:38,2025-02-08 21:25:41,00:00:03,26.7657816,85.2749533,24,65.0,2025-02-08 21:25:38
2025-02-08 21:25:40,2025-02-08 21:25:44,00:00:04,26.7656433,85.2749816,25,65.0,2025-02-08 21:25:40
2025-02-08 21:25:46,2025-02-08 21:25:49,00:00:03,26.7652816,85.27503,20,67.0,2025-02-08 21:25:46
2025-02-08 21:25:48,2025-02-08 21:25:52,00:00:04,26.765195,85.2750783,19,67.0,2025-02-08 21:25:48
2025-02-08 21:25:49,2025-02-08 21:25:52,00:00:03,26.7651716,85.2751299,21,67.0,2025-02-08 21:25:49
2025-02-08 21:25:50,2025-02-08 21:25:52,00:00:02,26.7651516,85.2751933,21,66.0,2025-02-08 21:25:50
2025-02-08 21:25:52,2025-02-08 21:26:00,00:00:08,26.765135,85.2753466,26,64.0,2025-02-08 21:25:52
2025-02-08 21:26:06,2025-02-08 21:26:08,00:00:02,26.76506,85.2763866,19,59.0,2025-02-08 21:26:06
2025-02-08 21:26:12,2025-02-08 21:26:14,00:00:02,26.7650166,85.2767283,18,59.0,2025-02-08 21:26:12
2025-02-08 21:26:14,2025-02-08 21:26:18,00:00:04,26.7650016,85.2767633,7,59.0,2025-02-08 21:26:14
2025-02-08 21:27:14,2025-02-08 21:27:16,00:00:02,26.7650099,85.2767483,0,58.0,2025-02-08 21:27:14
2025-02-08 21:27:19,2025-02-08 21:27:22,00:00:03,26.7649716,85.2768349,10,60.0,2025-02-08 21:27:19
2025-02-08 21:27:22,2025-02-08 21:27:25,00:00:03,26.7649583,85.2769733,16,60.0,2025-02-08 21:27:22
2025-02-08 21:27:25,2025-02-08 21:27:27,00:00:02,26.764955,85.277095,11,60.0,2025-02-08 21:27:25
