Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-01-09 20:23:34,2025-01-09 20:23:49,00:00:15,26.7729066,85.2688416,6,77.0,2025-01-09 20:23:34
2025-01-09 20:23:35,2025-01-09 20:23:49,00:00:14,26.7728899,85.268835,6,77.0,2025-01-09 20:23:35
2025-01-09 20:23:48,2025-01-09 20:23:56,00:00:08,26.7728066,85.2687949,7,74.0,2025-01-09 20:23:48
2025-01-09 20:23:53,2025-01-09 20:23:56,00:00:03,26.772615,85.2686949,18,72.0,2025-01-09 20:23:53
2025-01-09 20:23:54,2025-01-09 20:23:56,00:00:02,26.772555,85.268675,18,73.0,2025-01-09 20:23:54
2025-01-09 20:23:55,2025-01-09 20:23:56,00:00:01,26.7725,85.2686666,19,73.0,2025-01-09 20:23:55
2025-01-09 20:23:58,2025-01-09 20:24:02,00:00:04,26.7723233,85.26865,23,71.0,2025-01-09 20:23:58
2025-01-09 20:24:02,2025-01-09 20:24:04,00:00:02,26.7720666,85.2686866,27,67.0,2025-01-09 20:24:02
2025-01-09 20:24:05,2025-01-09 20:24:09,00:00:04,26.7718699,85.2687683,28,65.0,2025-01-09 20:24:05
2025-01-09 20:24:17,2025-01-09 20:24:20,00:00:03,26.7710416,85.2692416,31,61.0,2025-01-09 20:24:17
2025-01-09 20:24:29,2025-01-09 20:24:31,00:00:02,26.7702366,85.2697233,27,61.0,2025-01-09 20:24:29
2025-01-09 20:24:42,2025-01-09 20:24:44,00:00:02,26.7694366,85.2702183,31,62.0,2025-01-09 20:24:42
2025-01-09 20:24:54,2025-01-09 20:24:58,00:00:04,26.7685699,85.270695,31,60.0,2025-01-09 20:24:54
2025-01-09 20:25:06,2025-01-09 20:25:09,00:00:03,26.7677433,85.271155,29,58.0,2025-01-09 20:25:06
2025-01-09 20:25:18,2025-01-09 20:25:20,00:00:02,26.766925,85.2716466,29,58.0,2025-01-09 20:25:18
2025-01-09 20:25:28,2025-01-09 20:25:31,00:00:03,26.7664183,85.2719699,19,60.0,2025-01-09 20:25:28
2025-01-09 20:25:31,2025-01-09 20:25:47,00:00:16,26.7663616,85.2720349,6,62.0,2025-01-09 20:25:31
2025-01-09 20:25:52,2025-01-09 20:25:57,00:00:05,26.7661449,85.2722833,17,64.0,2025-01-09 20:25:52
2025-01-09 20:25:55,2025-01-09 20:25:57,00:00:02,26.7660266,85.2724449,21,64.0,2025-01-09 20:25:55
2025-01-09 20:25:58,2025-01-09 20:26:02,00:00:04,26.7659683,85.2726133,20,65.0,2025-01-09 20:25:58
2025-01-09 20:26:02,2025-01-09 20:26:07,00:00:05,26.7659233,85.272825,20,66.0,2025-01-09 20:26:02
2025-01-09 20:26:11,2025-01-09 20:26:14,00:00:03,26.7659,85.2734033,24,66.0,2025-01-09 20:26:11
2025-01-09 20:26:25,2025-01-09 20:26:30,00:00:05,26.7659949,85.2744583,28,58.0,2025-01-09 20:26:25
2025-01-09 20:26:30,2025-01-09 20:26:32,00:00:02,26.7659949,85.27479,19,56.0,2025-01-09 20:26:30
2025-01-09 20:26:33,2025-01-09 20:26:37,00:00:04,26.7659199,85.2749133,15,55.0,2025-01-09 20:26:33
2025-01-09 20:26:35,2025-01-09 20:26:38,00:00:03,26.7658383,85.274955,14,55.0,2025-01-09 20:26:35
2025-01-09 20:26:36,2025-01-09 20:26:38,00:00:02,26.76576,85.2749383,16,55.0,2025-01-09 20:26:36
2025-01-09 20:26:38,2025-01-09 20:26:43,00:00:05,26.7656416,85.2749449,21,55.0,2025-01-09 20:26:38
2025-01-09 20:26:43,2025-01-09 20:26:48,00:00:05,26.7653816,85.274955,19,56.0,2025-01-09 20:26:43
2025-01-09 20:26:45,2025-01-09 20:26:50,00:00:05,26.7653016,85.2749866,16,56.0,2025-01-09 20:26:45
2025-01-09 20:26:46,2025-01-09 20:26:50,00:00:04,26.76527,85.2750066,14,57.0,2025-01-09 20:26:46
2025-01-09 20:26:48,2025-01-09 20:26:50,00:00:02,26.76522,85.2750783,15,56.0,2025-01-09 20:26:48
2025-01-09 20:26:52,2025-01-09 20:27:00,00:00:08,26.7651716,85.2752633,19,56.0,2025-01-09 20:26:52
2025-01-09 20:27:05,2025-01-09 20:27:09,00:00:04,26.7651133,85.2762166,30,53.0,2025-01-09 20:27:05
2025-01-09 20:27:16,2025-01-09 20:27:18,00:00:02,26.7649899,85.2770266,27,52.0,2025-01-09 20:27:16
