Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-01-21 21:11:51,2025-01-21 21:11:54,00:00:03,26.7725566,85.2687266,37,52.0,2025-01-21 21:11:51
2025-01-21 21:11:54,2025-01-21 21:12:01,00:00:07,26.7722533,85.2687033,41,49.0,2025-01-21 21:11:54
2025-01-21 21:11:58,2025-01-21 21:12:01,00:00:03,26.7718116,85.2687783,45,48.0,2025-01-21 21:11:58
2025-01-21 21:12:00,2025-01-21 21:12:02,00:00:02,26.7715916,85.2688883,46,47.0,2025-01-21 21:12:00
2025-01-21 21:12:03,2025-01-21 21:12:08,00:00:05,26.77131,85.269055,36,46.0,2025-01-21 21:12:03
2025-01-21 21:12:05,2025-01-21 21:12:08,00:00:03,26.7712249,85.2691366,23,47.0,2025-01-21 21:12:05
2025-01-21 21:12:07,2025-01-21 21:12:09,00:00:02,26.7711866,85.2691866,11,46.0,2025-01-21 21:12:07
2025-01-21 21:12:10,2025-01-21 21:12:17,00:00:07,26.7711433,85.2692399,12,48.0,2025-01-21 21:12:10
2025-01-21 21:12:13,2025-01-21 21:12:17,00:00:04,26.7711116,85.2692633,0,49.0,2025-01-21 21:12:13
2025-01-21 21:13:28,2025-01-21 21:13:37,00:00:09,26.7711066,85.2692633,0,56.0,2025-01-21 21:13:28
2025-01-21 21:13:42,2025-01-21 21:13:47,00:00:05,26.7711099,85.2691816,6,57.0,2025-01-21 21:13:42
2025-01-21 21:13:49,2025-01-21 21:13:55,00:00:06,26.7713183,85.2690833,17,57.0,2025-01-21 21:13:49
2025-01-21 21:13:57,2025-01-21 21:14:01,00:00:04,26.77178,85.2688433,27,56.0,2025-01-21 21:13:57
2025-01-21 21:14:03,2025-01-21 21:14:13,00:00:10,26.772175,85.2686949,27,55.0,2025-01-21 21:14:03
2025-01-21 21:14:05,2025-01-21 21:14:13,00:00:08,26.7723133,85.2686783,27,54.0,2025-01-21 21:14:05
2025-01-21 21:14:09,2025-01-21 21:14:13,00:00:04,26.7725983,85.2687266,26,53.0,2025-01-21 21:14:09
